genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,churn,Fuerza de ventas,churn2
Femenino,70,33,Puebla,Postpago,tienda,892,12,7,47,2.69,6.92,3.58,0.38,5.67,0.51,4.37,0.64,4.14,No,206.47,No
Femenino,18,60,Baja California Sur,Postpago,tienda,192,8,40,46,3.44,3.86,2.1,1.65,4.53,0.45,4.57,2.34,3.07,Sí,71.003,Sí
Femenino,56,27,Sonora,Postpago,app,82,11,21,17,1.49,2.08,0.92,0.12,2.94,0.48,2.28,0.33,1.37,Sí,30.203,Sí
Femenino,29,13,CDMX,Postpago,tienda,979,11,15,21,5.3,7.91,2.61,3.06,8.29,3.01,6.24,2.06,3.93,Sí,217.523,Sí
Masculino,51,22,Baja California,Postpago,tienda,804,0,24,40,3.56,8.02,5.01,4.02,8.82,2.32,7.95,2.98,2.32,Sí,190.8,Sí
Masculino,29,59,Hidalgo,Prepago,tienda,254,2,46,51,2.97,7.66,4.09,1.36,7.04,3.07,3.5,2.34,3.96,Sí,88.047,Sí
Femenino,27,51,Aguascalientes,Postpago,tienda,35,4,48,8,3.9,4.77,2.38,1.28,4.53,0.47,5.24,0.91,3,No,27.394,No
Femenino,29,7,Tamaulipas,Prepago,tienda,362,5,8,15,0.62,2.63,0.77,0.54,1.7,0.61,1.49,0.11,1.09,Sí,81.218,Sí
Masculino,70,26,Aguascalientes,Prepago,tienda,132,10,8,40,1.29,2.92,1.11,0.3,2.81,1.15,2.95,0.88,2.68,Sí,47.527,Sí
Masculino,58,58,Sinaloa,Prepago,app,486,4,32,10,3.09,10.77,6.17,1.52,9.94,1.1,8.75,1.72,3.94,No,124.6,No
Masculino,38,4,San Luis Potosi,Postpago,tienda,962,1,43,47,0.81,1.81,0.5,0.63,1.37,0.23,1.15,0.35,0.75,No,211.53,No
Masculino,32,38,México,Prepago,app,564,12,56,15,2.04,7.07,3.73,1.21,7.18,1.2,4.16,1.61,3.35,Sí,135.265,Sí
Femenino,47,42,Tabasco,Prepago,app,847,11,55,9,2.75,5.84,1.74,0.91,7.1,2.41,4.21,0.78,2.67,Sí,189.673,Sí
Femenino,47,62,Nayarit,Postpago,tienda,301,13,42,38,3.7,4.92,2.7,2.51,4.81,1,5.18,1,1.91,No,91.319,No
Femenino,54,28,Quintana Roo,Prepago,app,921,12,61,28,2.75,4.85,1.44,0.45,4.09,2.29,3.79,0.58,2.44,No,206.654,No
Masculino,39,17,Baja California Sur,Prepago,app,398,14,55,41,7.16,11.31,3.96,0.83,12.6,2.9,7.6,0.51,5.14,Sí,112.803,Sí
Masculino,56,44,Tabasco,Postpago,app,907,4,48,36,6.93,7.65,5.87,0.99,11.39,1.2,8.41,3.89,4.68,Sí,216.503,Sí
Femenino,18,58,Jalisco,Postpago,app,531,7,33,49,3.23,6.58,4.02,0.91,7.34,3.91,6.22,0.38,4.72,Sí,142.443,Sí
Masculino,43,36,Veracruz,Postpago,tienda,393,1,53,38,1.87,5.14,2.32,2.14,4.42,2.01,3.84,2,3.25,Sí,106.147,Sí
Femenino,45,7,Oaxaca,Postpago,app,683,6,59,12,2.73,3.16,1.08,0.3,4.43,0.21,2.43,1.11,2.99,No,149.732,No
Masculino,24,42,CDMX,Prepago,tienda,265,2,57,35,0.11,0.16,0.11,0.06,0.15,0.1,0.17,0.02,0.12,Sí,72.95,Sí
Masculino,43,56,Baja California,Postpago,app,42,13,12,19,2.13,3.97,1.57,0.18,3.08,0.6,2.95,1.12,2.2,Sí,28.44,Sí
Masculino,22,33,"Campeche, Coahuila",Prepago,app,857,3,41,23,3.03,5.4,1.32,0.24,4.51,1.54,3.91,0.24,2.91,Sí,192.23,Sí
Masculino,18,11,Nuevo León,Prepago,tienda,554,10,3,23,0.45,1.63,0.67,0.72,1.69,0.67,1.34,0.07,0.76,Sí,121.9,Sí
Masculino,16,13,Nayarit,Prepago,app,238,6,52,28,4.55,6.6,5.44,4.14,7.33,1.39,6.98,2.86,4.72,No,73.753,No
Masculino,60,60,Tabasco,Prepago,tienda,44,12,57,51,1.91,3.1,1.15,1.18,2.94,1.02,1.71,0.64,1.36,Sí,40.453,Sí
Masculino,44,8,Tlaxcala,Postpago,app,810,12,56,28,0.45,1.91,0.89,0.12,1.39,0.71,1.24,0.22,0.63,No,176.668,No
Masculino,69,4,San Luis Potosi,Prepago,app,968,1,39,8,2,7.66,1.94,0.95,7.72,3.84,3.94,1.04,5.58,Sí,208.951,Sí
Masculino,37,53,Nayarit,Postpago,tienda,46,12,27,51,2.48,3.62,1.98,0.22,4.82,2.25,2.84,1.85,1.42,No,40.244,No
Femenino,27,70,Nayarit,Prepago,app,448,5,54,45,2.37,3.88,0.83,1.08,3.01,1.53,1.7,0.16,1.23,No,121.037,No
Femenino,41,43,Tlaxcala,Postpago,app,767,14,66,31,4.68,9.69,2.02,1.92,7.91,4.23,8.53,4.01,5.01,No,186.85,No
Femenino,59,48,Tamaulipas,Postpago,app,309,1,36,17,1.84,5.96,1.9,1.29,4.42,2.56,4.75,0.28,4.14,No,84.042,No
Masculino,54,13,Chiapas,Postpago,tienda,643,5,8,52,3.57,5.01,3.61,0.3,7.07,1.12,4.01,2.26,1.62,Sí,155.121,Sí
Masculino,34,1,Sinaloa,Postpago,app,984,0,14,3,3.22,5.74,4.73,2.66,7.99,1.62,5.01,2.42,4.6,No,209.947,No
Femenino,53,27,Colima,Postpago,app,545,0,17,44,2.32,8.94,3.52,0.41,7.87,3.04,4.54,0.46,5.37,Sí,138.041,Sí
Masculino,39,39,Sinaloa,Postpago,tienda,484,0,59,4,0.97,4.23,1.03,1.39,4.37,0.39,1.88,1.74,1.28,No,111.984,No
Masculino,21,17,Baja California Sur,Prepago,app,467,5,7,25,2.97,8.55,4.28,0.43,6.96,2.05,6.3,0.43,5.9,Sí,115.161,Sí
Masculino,40,59,Chiapas,Postpago,app,246,9,63,2,0.77,1.5,1.02,0.39,1.6,0.64,1.56,0.4,1.11,Sí,64.497,Sí
Masculino,52,29,Tlaxcala,Prepago,app,894,7,13,7,4.73,7.9,5.26,0.76,9.18,3.99,9.14,1.11,3.23,No,199.49,No
Femenino,58,31,Colima,Prepago,tienda,354,11,15,19,2.09,4.12,0.99,0.35,3.53,1.49,2.2,1.95,2.14,No,87.558,No
Masculino,69,7,Sonora,Prepago,tienda,643,7,4,46,0.43,1.28,0.24,0.33,1.34,0.25,0.95,0.28,0.88,No,145.444,No
Femenino,50,51,Michoacán,Prepago,app,449,12,9,14,1.59,4.43,2.01,2.46,5.93,1.76,3.18,1.86,1.62,Sí,109.552,Sí
Masculino,67,34,Quintana Roo,Prepago,app,329,6,10,22,0,0,0,0,0,0,0,0,0,Sí,78,Sí
Femenino,16,45,Tlaxcala,Postpago,app,568,7,43,9,3.73,5.11,2.06,0.3,4.86,2.75,5.43,2.05,1.6,No,133.567,No
Masculino,28,42,Oaxaca,Postpago,app,729,10,44,28,1.2,3.7,1.16,0.85,3.29,0.74,1.96,1.53,0.95,Sí,167.314,Sí
Masculino,36,44,Puebla,Prepago,tienda,58,4,33,26,1.94,2.78,1.14,0.56,3.5,1.64,2.12,0.98,2.15,Sí,32.693,Sí
Femenino,40,44,Baja California,Postpago,tienda,392,5,32,39,0.84,2.6,1.08,0.34,2.38,0.95,1.18,0.17,1.47,Sí,101.603,Sí
Masculino,27,67,Tabasco,Postpago,tienda,997,3,12,12,4.21,7.25,3.2,1.61,7.77,2.29,5.4,1.99,2.28,Sí,224.45,Sí
Femenino,21,30,Guerrero,Prepago,app,678,0,54,52,0.15,0.42,0.12,0.16,0.47,0.07,0.37,0.08,0.16,Sí,159,Sí
Masculino,41,43,Sinaloa,Prepago,tienda,721,10,12,20,2.66,7.38,2.71,2.52,7.39,2.74,5.69,3.36,4.55,Sí,168.95,Sí
Masculino,19,37,Sonora,Postpago,app,824,8,65,50,1.88,5.69,1.5,1.92,5.87,1.19,3.89,0.9,3.15,No,196.397,No
Femenino,30,31,Baja California,Prepago,app,778,11,12,18,2.99,6.54,2.89,0.29,7.11,1.04,4.85,1.89,3.41,No,175.553,No
Masculino,49,45,Zacatecas,Postpago,tienda,707,13,51,27,1.9,4.4,2.23,1.58,4.74,1.93,2.87,0.21,2.16,Sí,165.406,Sí
Masculino,46,52,Puebla,Postpago,app,100,10,56,45,3.78,8.88,6.11,2.42,8.67,3.37,7.85,3.68,6.25,Sí,59.403,Sí
Femenino,33,26,Guerrero,Prepago,tienda,455,10,14,16,2.63,5.53,2.4,1.31,6.92,2.63,6.46,2.43,3.11,Sí,110.426,Sí
Femenino,19,11,Colima,Postpago,app,164,9,61,44,1.35,2.69,0.74,1.2,2.95,1.47,2.03,0.51,2.06,No,55.2,No
Masculino,64,47,Durango,Prepago,app,202,0,29,15,0.11,0.21,0.06,0.05,0.22,0.06,0.16,0.07,0.08,No,53.706,No
Masculino,38,32,Oaxaca,Prepago,app,925,12,15,22,1.31,4.41,2.61,1.77,3.77,1.71,2.98,1.44,2.49,No,203.897,No
Femenino,29,49,CDMX,Postpago,app,771,6,51,32,3.12,5.07,2.71,1.39,4.67,0.98,3.11,1.69,2.26,No,181.2,No
Femenino,23,67,Querétaro,Prepago,app,987,12,54,1,1.69,3.57,1.16,0.54,2.46,1.35,2.5,0.96,0.78,Sí,214.953,Sí
Femenino,55,36,Guanajuato,Prepago,tienda,916,8,5,46,1.53,2.49,1.58,0.41,3.05,0.52,2.07,0.61,0.86,No,206.586,No
Femenino,28,18,Oaxaca,Postpago,tienda,205,0,62,26,3.01,6.44,2.94,0.3,6.46,0.84,5.65,1.9,1.86,Sí,63.42,Sí
Femenino,56,2,Morelos,Postpago,tienda,744,13,42,43,0.21,0.66,0.25,0.03,0.62,0.23,0.49,0.24,0.28,No,165.003,No
Masculino,64,71,Baja California,Prepago,tienda,115,3,17,39,2.08,7.75,4.52,0.41,8.02,1.16,4.63,0.96,2.37,Sí,55.77,Sí
Masculino,50,65,"Campeche, Coahuila",Postpago,tienda,255,0,16,38,3.97,6.64,3.26,2.07,8.55,2.03,4.01,3.1,2.99,Sí,83.936,Sí
Masculino,66,21,Veracruz,Postpago,tienda,951,1,32,9,1.85,5.21,1.18,0.59,3.97,0.76,4.25,0.3,2.3,No,203.773,No
Femenino,34,43,Guerrero,Postpago,app,144,4,25,31,1.28,1.85,1.25,0.6,1.49,0.68,1.9,0.65,1.31,Sí,49.103,Sí
Masculino,53,66,Zacatecas,Postpago,tienda,586,3,56,51,1.45,3.05,1.79,1.23,2.29,0.22,2.32,0.38,1.01,Sí,149.322,Sí
Femenino,42,1,Sonora,Postpago,tienda,138,3,57,47,0.83,1.88,1.45,0.12,2.13,0.27,1.71,0.44,0.9,Sí,47.619,Sí
Femenino,45,54,Nuevo León,Postpago,app,421,12,53,28,4.63,5.53,3.63,3.37,8.28,3.85,4.78,0.89,2.04,Sí,114.45,Sí
Masculino,23,35,Chiapas,Postpago,app,45,9,69,53,3.62,12.61,3.3,1.21,9.95,4.49,5.5,2.1,5.68,No,48.138,No
Femenino,43,43,Oaxaca,Prepago,app,190,12,22,7,2.88,3.75,1.3,2.03,3.36,0.23,2.32,1.45,2.91,No,53.719,No
Femenino,51,38,Baja California Sur,Prepago,tienda,309,2,65,53,3.95,6.65,4.06,1.52,5.65,2.93,5.64,3.14,3.46,Sí,97.75,Sí
Masculino,19,32,Nayarit,Prepago,tienda,971,10,58,49,2.79,4.59,2.88,0.87,5.22,2.47,4,0.22,2.95,No,224.397,No
Femenino,33,47,Sinaloa,Prepago,tienda,879,3,7,49,1.73,4.11,1.31,2.44,5.08,2.3,2.94,1.18,2.41,No,204.95,No
Masculino,22,47,Nayarit,Prepago,tienda,171,3,39,40,3.1,8.31,3.47,0.44,9.97,3.32,7.17,3.67,4.56,Sí,68.403,Sí
Masculino,35,20,Tabasco,Postpago,tienda,890,2,9,23,2.54,6.74,1.26,2.22,7.48,3.38,6.15,0.91,2.33,Sí,198.253,Sí
Masculino,68,63,Baja California Sur,Postpago,app,547,0,37,52,0.43,0.99,0.63,0.36,1.13,0.08,0.62,0.13,0.65,Sí,137.806,Sí
Femenino,61,69,Tlaxcala,Postpago,app,688,8,41,35,0.11,0.31,0.1,0.08,0.3,0.02,0.38,0.02,0.17,No,160.947,No
Femenino,32,23,Nayarit,Postpago,app,58,4,9,3,4,4.85,1.74,0.3,4.84,2.86,4.28,0.5,2.93,No,24.29,No
Masculino,70,56,Baja California,Prepago,app,267,8,20,13,4.55,12.49,3.81,2.52,9.08,4.19,5.83,3.49,5.05,Sí,82.003,Sí
Femenino,20,4,Yucatán,Postpago,tienda,301,7,13,12,0.25,1.14,0.3,0.05,1.13,0.31,0.5,0.27,0.57,No,66.406,No
Masculino,27,27,Sinaloa,Prepago,tienda,707,8,30,45,3.78,7.22,4.32,1.04,10.51,0.93,8.58,4.28,3.3,No,173.638,No
Femenino,68,52,Aguascalientes,Postpago,tienda,314,3,59,32,0.08,0.23,0.08,0.05,0.23,0.03,0.13,0.01,0.15,Sí,83.447,Sí
Femenino,45,59,México,Postpago,tienda,437,12,20,24,0.92,3.7,0.73,0.17,3.4,1.41,1.77,1.62,2.35,Sí,109.271,Sí
Femenino,24,22,Baja California Sur,Prepago,app,606,9,10,33,4.87,6.69,4.56,2.43,5.55,3.87,4.99,1.22,2.53,Sí,145.913,Sí
Masculino,62,71,Oaxaca,Postpago,tienda,559,5,42,22,1.39,2.05,1.64,0.44,1.98,0.14,2.01,0.13,1.14,Sí,134.426,Sí
Femenino,41,37,Tlaxcala,Prepago,app,929,10,45,23,1.81,5.65,2.26,2.29,4.94,2.85,3.67,2.79,3.75,Sí,209.503,Sí
Masculino,38,15,Tabasco,Prepago,tienda,967,1,64,35,6.04,10.29,2.92,0.58,7.57,1.89,6.67,3.88,3.54,No,222.364,No
Masculino,35,23,Zacatecas,Prepago,tienda,80,13,61,16,1.58,6.17,1.71,1.17,5.06,2.08,5.06,2.16,1.96,No,35.385,No
Femenino,33,39,Puebla,Prepago,app,767,1,49,29,2.63,6.6,4.16,3.17,8.04,2.38,7.24,1.73,3.05,No,182.1,No
Masculino,53,11,Hidalgo,Postpago,app,772,5,45,33,2.54,6.92,4.63,3.93,8.53,4.08,7.96,3.83,2.59,No,181.703,No
Femenino,55,28,Tlaxcala,Postpago,tienda,344,14,7,13,3.14,5.69,2.53,0.5,4.28,2.03,5.06,1.46,2.31,Sí,85.35,Sí
Masculino,24,57,Colima,Prepago,app,447,8,16,22,1.97,5.6,1.45,1.95,3.61,0.25,3.19,1.35,3.43,No,112.19,No
Femenino,65,68,Baja California Sur,Postpago,app,222,12,31,19,3.6,4.96,1.94,0.28,5.35,1.84,2.94,1.78,2.27,No,69.338,No
Masculino,15,2,México,Postpago,tienda,318,13,33,10,3.52,8.67,2.93,3.77,10.25,3.4,4.45,1.59,2.57,Sí,80.895,Sí
Femenino,20,14,Quintana Roo,Prepago,tienda,40,5,35,40,4.24,8.85,4.99,0.86,8.73,3.48,8.67,0.44,2.89,No,36.795,No
Femenino,43,35,Jalisco,Postpago,app,212,2,68,7,3.19,10.75,4.95,3.83,8.51,2.85,8.04,1.82,6.06,Sí,68.15,Sí
Femenino,24,30,Hidalgo,Prepago,app,989,8,4,7,4.57,7.34,2.9,1.84,10.8,1.53,5.7,2.42,2.83,No,216.579,No
Femenino,42,59,Oaxaca,Prepago,app,304,11,54,34,2.42,10.02,4,3.34,7.77,1.23,6.58,1.91,3.31,No,94.724,No
Femenino,67,53,Guerrero,Postpago,tienda,319,9,64,25,2.78,8.14,3.63,3.15,7.58,0.9,5.61,3.12,3.77,No,94.054,No
Masculino,65,20,Puebla,Prepago,tienda,443,7,35,41,4,7.45,3.01,1.77,5.01,0.64,5.39,0.31,3.43,No,114.953,No
Masculino,45,34,Quintana Roo,Prepago,app,270,5,30,49,1.34,3.75,2.32,0.87,3.55,0.49,3.42,1.1,2.15,Sí,80.997,Sí
Femenino,19,62,Quintana Roo,Postpago,app,270,9,36,38,6.44,9.27,6.05,0.83,10.37,4.76,7.65,2.66,3.96,Sí,92.097,Sí
Femenino,16,4,San Luis Potosi,Prepago,app,106,6,56,9,4.5,6.2,4.2,0.31,5.73,1.39,3.42,1.98,1.62,No,36.105,No
Masculino,19,28,Puebla,Postpago,app,797,7,8,53,0.59,1.13,0.44,0.21,0.75,0.44,0.97,0.05,0.41,Sí,181.397,Sí
Femenino,49,56,Michoacán,Postpago,tienda,177,12,65,30,4.47,11.4,4.58,3.5,12.3,2.98,8.09,1.04,3.59,Sí,71.635,Sí
Masculino,49,1,Durango,Postpago,tienda,448,6,31,52,4.81,6.73,5.24,1.76,7.15,0.62,5.24,1.46,4.74,Sí,118.225,Sí
Masculino,35,65,Sinaloa,Prepago,tienda,572,10,43,40,3.19,4.05,1.8,2.21,3.61,2.27,4.49,0.48,1.76,Sí,145.458,Sí
Femenino,17,41,Tlaxcala,Prepago,app,91,12,28,29,4.78,6.36,1.98,1.08,8.03,3.24,5.67,2.81,2.05,Sí,45.25,Sí
Femenino,54,70,Guerrero,Postpago,tienda,787,8,28,19,3.63,4.25,3.48,1.77,6.25,1.12,4.98,2.52,2.98,No,184.294,No
Femenino,16,40,México,Prepago,tienda,263,8,61,17,0.35,0.53,0.27,0.1,0.74,0.16,0.42,0.06,0.2,No,67.599,No
Femenino,40,59,Durango,Prepago,app,239,9,44,28,1.14,1.78,1.08,0.51,2.28,0.62,1.45,0.19,0.95,Sí,70.25,Sí
Masculino,31,43,Morelos,Postpago,tienda,870,9,67,6,0.97,3.31,0.88,0.7,2.86,1.32,2.67,0.85,1.2,No,190.028,No
Femenino,35,71,Baja California Sur,Prepago,tienda,367,0,18,11,0.41,0.61,0.34,0.06,0.5,0.27,0.57,0.04,0.2,No,89.15,No
Femenino,30,58,Aguascalientes,Prepago,app,746,2,54,17,4.46,6.26,2.77,1.9,6.23,2.22,4.78,2.99,2.39,No,175.9,No
Femenino,55,11,Puebla,Prepago,tienda,562,8,48,15,1.69,4.21,2.06,1.21,5.41,1.48,3.15,1.3,1.5,No,127.553,No
Masculino,48,36,Nuevo León,Postpago,tienda,50,4,24,35,2.22,7.32,2.94,1.16,6.91,1.28,7.47,1.39,5.59,No,37.984,No
Femenino,16,32,Guerrero,Postpago,tienda,385,6,18,35,3.47,7.19,2.48,2.02,8.32,3.42,3.63,2.61,4.87,Sí,104.603,Sí
Masculino,58,20,Guanajuato,Postpago,tienda,585,13,10,54,1.4,3.67,1.36,1.69,4.83,1.12,4,1.38,2.9,No,143.405,No
Femenino,31,7,Chihuahua,Prepago,app,892,12,26,48,1.33,4.24,2.15,1.19,4.71,1.86,3.45,1.87,1.69,Sí,201.897,Sí
Masculino,35,68,Veracruz,Prepago,app,826,9,20,9,1.52,3.86,2.56,1.8,4.76,0.95,3.89,1.53,3.13,No,186.3,No
Masculino,15,19,Durango,Prepago,tienda,277,12,11,39,1.58,3.6,1.02,0.15,3.52,0.82,2.85,0.25,1.01,No,74.94,No
Masculino,20,59,Sonora,Prepago,tienda,375,6,29,3,2.31,3.56,1.18,1.46,3.9,0.98,2.84,0.23,3.09,No,92.065,No
Femenino,23,43,Querétaro,Postpago,tienda,127,8,5,1,3.83,4.82,3.38,2.21,7.38,0.43,4.69,1.39,3.87,Sí,42,Sí
Masculino,70,70,Zacatecas,Prepago,app,16,13,38,51,0.52,0.99,0.34,0.36,1,0.47,0.7,0.06,0.56,Sí,32.4,Sí
Masculino,17,45,Hidalgo,Postpago,app,990,7,34,38,4.09,6.63,3.71,0.62,6.07,1.37,3.82,0.56,3.51,No,226.964,No
Masculino,49,37,Zacatecas,Prepago,tienda,816,6,46,44,1.52,5.54,3.87,0.34,6.54,1.72,4.22,1.88,3.37,Sí,192.95,Sí
Femenino,48,17,Chihuahua,Postpago,app,925,9,45,6,5.56,7.36,5.12,3.3,10.51,4.21,6.88,3.82,3.25,No,206.603,No
Masculino,31,10,"Campeche, Coahuila",Prepago,tienda,411,8,63,24,1.77,3.17,1.14,1.09,3.42,0.79,1.58,0.14,0.73,Sí,98.199,Sí
Masculino,41,47,Tamaulipas,Postpago,app,338,0,43,17,1.76,7.48,3.9,1.68,6.34,1.05,4.18,2.17,2.42,No,91.194,No
Masculino,20,70,CDMX,Prepago,app,804,8,4,44,3.7,5.76,1.3,2.03,6.11,1.19,2.61,1.63,2.65,Sí,192.794,Sí
Femenino,65,16,Tlaxcala,Prepago,app,953,8,57,13,0.09,0.2,0.09,0.07,0.2,0.08,0.12,0.03,0.12,Sí,200.05,Sí
Femenino,28,29,Colima,Prepago,app,241,11,10,0,2.62,5.5,2.59,2.24,5.95,1.62,3.36,2.07,4.04,Sí,62.047,Sí
Masculino,38,16,Colima,Prepago,tienda,85,0,10,31,4.85,10.08,4.21,3.33,10.05,2.1,7.36,4.64,2.37,Sí,43.897,Sí
Femenino,48,21,Hidalgo,Prepago,tienda,204,12,30,8,0.4,0.91,0.52,0.43,0.79,0.43,0.5,0.38,0.63,No,49.347,No
Masculino,53,26,Oaxaca,Prepago,app,538,11,26,1,3.7,6.84,1.44,0.34,7.83,1.07,3.48,3.37,2.12,No,122.157,No
Masculino,50,55,Guanajuato,Prepago,app,65,8,63,8,7.35,7.73,7.16,2.62,11.33,3.25,8.79,2.64,3.12,No,42.997,No
Masculino,68,22,Michoacán,Prepago,tienda,90,7,5,19,3.69,6.36,1.26,2.31,4.46,1.8,2.84,1.7,2.19,Sí,35.233,Sí
Femenino,55,36,Zacatecas,Postpago,tienda,32,6,54,49,3.61,9.39,3.42,3.07,11.43,4.79,5.29,1.72,3.87,No,43.177,No
Masculino,38,49,Tlaxcala,Postpago,tienda,293,14,16,33,3.77,5.58,4.42,1.53,7,0.97,5.07,0.33,2.56,Sí,86.019,Sí
Femenino,37,34,Tabasco,Prepago,tienda,901,8,45,12,1.34,3.49,2.12,0.71,3.09,1.29,2.56,0.51,1.88,Sí,196.247,Sí
Femenino,43,31,Veracruz,Prepago,app,798,3,63,36,2.99,6.74,3.33,4.27,9.95,3.82,7.78,1.87,4.25,No,191.7,No
Masculino,60,70,Colima,Prepago,app,443,11,8,47,0,0,0,0,0,0,0,0,0,No,113.6,No
Femenino,51,2,Zacatecas,Postpago,app,247,7,69,20,2.79,6.1,3.29,1.56,6.18,1.15,4.46,1.74,3.74,No,68.453,No
Femenino,26,39,Chihuahua,Prepago,app,41,11,21,0,2.81,6.04,4.14,0.51,7.67,1.23,3.69,3.39,4.86,Sí,25.402,Sí
Femenino,67,47,Baja California,Postpago,tienda,104,1,62,53,3.03,5.35,3.89,0.41,6.7,1.33,4.02,0.68,2.57,No,55.244,No
Masculino,53,62,Colima,Postpago,tienda,913,11,14,46,3.3,8.62,1.7,0.93,7.59,2.29,5.01,2.18,4.98,Sí,217.38,Sí
Masculino,46,24,Tamaulipas,Postpago,app,537,12,18,1,0.23,0.54,0.14,0.08,0.59,0.18,0.42,0.26,0.41,Sí,113.055,Sí
Masculino,66,8,Zacatecas,Prepago,tienda,306,8,36,24,3,8.68,2.16,1.2,7.46,0.87,4.75,0.35,2.86,Sí,80.799,Sí
Femenino,51,2,San Luis Potosi,Prepago,app,171,13,61,47,1.03,1.71,0.45,0.24,1.67,0.78,1.56,0.54,1.02,Sí,54.35,Sí
Masculino,28,69,Tlaxcala,Prepago,tienda,920,1,49,47,0.78,2.1,0.62,0.36,1.89,0.35,1.59,0.4,0.91,No,213.6,No
Masculino,16,6,"Campeche, Coahuila",Prepago,app,483,11,40,37,2.76,5.92,2.33,2.47,6.56,1.79,4.42,2.08,4.66,Sí,120.497,Sí
Masculino,52,65,México,Prepago,app,618,2,68,31,0.68,1.99,1.01,0.14,2.19,0.96,1.67,0.79,0.56,No,149.047,No
Masculino,69,2,Tabasco,Postpago,app,74,7,32,8,2.28,6.97,1.18,1.55,6.71,1.55,4.62,0.85,3.29,No,27.8,No
Femenino,63,40,Veracruz,Prepago,tienda,512,12,34,44,6.14,11.46,3.5,0.78,6.94,0.73,6.8,2.71,3.02,Sí,135.924,Sí
Masculino,49,6,Baja California Sur,Prepago,app,116,5,24,39,5.72,11.38,4.55,4.35,9.8,1.54,6.06,3.53,5.06,No,52.597,No
Masculino,16,63,Tlaxcala,Prepago,tienda,885,0,19,29,1.5,2.86,1.55,1.57,3.31,0.21,2.05,1.56,2.4,Sí,201.203,Sí
Femenino,63,37,San Luis Potosi,Prepago,app,447,5,68,15,5.35,6.92,5.81,1.24,8.5,1.77,4.57,1.49,4.2,Sí,114.805,Sí
Masculino,28,13,Sonora,Postpago,tienda,232,0,11,28,2.52,4.33,1.12,0.64,4.49,0.78,3,1.44,1.58,Sí,63.27,Sí
Masculino,15,40,Querétaro,Postpago,app,582,11,5,48,0.86,1.45,0.41,0.1,1.23,0.26,0.86,0.41,0.42,Sí,138.85,Sí
Femenino,69,7,Chihuahua,Postpago,app,991,8,24,49,4.2,5.42,3.68,2.47,5.11,2.71,4.7,1.71,3,No,225.05,No
Femenino,22,1,Chihuahua,Postpago,tienda,785,8,43,18,3.47,6.75,2.22,2.84,8.92,1.67,4.59,0.75,4.95,Sí,175.548,Sí
Femenino,40,64,Veracruz,Prepago,tienda,174,14,34,25,0.43,1.22,0.57,0.49,1.18,0.69,0.7,0.41,0.9,No,55.577,No
Femenino,46,41,Baja California,Prepago,app,756,14,69,26,3.86,10.09,1.77,2.35,9.5,3.21,6.07,2.52,3.63,Sí,181.5,Sí
Femenino,60,55,San Luis Potosi,Prepago,tienda,860,13,16,46,3.38,4.13,1.32,1.07,4.73,1.73,4.48,0.26,2.61,Sí,201.963,Sí
Masculino,28,46,Nuevo León,Postpago,app,327,6,54,25,5.18,7.52,5.88,4.12,10.2,0.99,4.61,2.17,6.33,Sí,96.6,Sí
Masculino,64,63,Oaxaca,Postpago,tienda,76,0,27,30,3.17,6.13,3.35,1.77,6.54,1.29,5.12,0.29,3.34,No,44.3,No
Masculino,59,20,San Luis Potosi,Prepago,tienda,818,7,57,9,0.32,0.68,0.34,0.07,0.49,0.1,0.53,0.03,0.44,Sí,173.05,Sí
Femenino,65,56,Puebla,Prepago,app,213,3,11,54,1.08,2.6,0.78,0.31,3.77,0.46,2.49,0.52,1.27,Sí,71.734,Sí
Masculino,33,62,Chiapas,Postpago,tienda,544,4,6,43,5.73,8.53,6.09,3.93,9.9,2.41,7.09,3.25,4.07,Sí,146.6,Sí
Masculino,68,22,México,Prepago,tienda,272,10,6,10,2.97,6.65,3.09,2.35,4.42,1.26,3.97,0.31,3.98,No,69.7,No
Femenino,47,32,México,Prepago,tienda,648,6,68,34,6.4,8.81,3.75,0.45,7.62,1.32,7.27,2.92,4.02,Sí,160.768,Sí
Femenino,33,63,Quintana Roo,Prepago,tienda,143,0,14,31,6.1,7.08,5.84,1.3,7.8,1.48,8.46,4,3.95,Sí,61.853,Sí
Masculino,36,59,Tabasco,Prepago,tienda,160,10,20,35,0.44,1.42,0.49,0.51,1.2,0.6,1.33,0.17,0.49,Sí,54.345,Sí
Masculino,53,51,Guanajuato,Postpago,tienda,865,0,40,22,0.69,2.81,0.81,1.15,2.07,1.16,2.48,0.69,1.14,Sí,193.15,Sí
Femenino,33,37,Yucatán,Postpago,tienda,851,14,35,21,4.24,5.21,1.59,1.73,4.99,2.29,5.16,1.61,4.17,No,193.097,No
Masculino,69,71,San Luis Potosi,Prepago,tienda,829,3,34,1,3.06,11.09,2.56,2.56,11.04,1.26,7.43,3.38,2.56,No,191.932,No
Masculino,67,5,Sonora,Prepago,tienda,72,2,20,21,5.12,7.24,3.49,0.47,8.01,4.26,6.77,2.21,6.31,Sí,35.614,Sí
